HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Cnot1	0.00640392061487205	0.0938526922687331	-0.0384132139549411	-0.00640392061487205
Cnot7	-0.030429802006541	0.106606530133059	-0.162803004218533	0.030429802006541
Cnot6	0.0359171659808162	-0.0139175681259953	0.0139175681259971	-0.0707431374602123
Cnot4	0.0882996646195569	0.0453044591583449	-0.117516385456145	-0.0453044591583449
Mir3101	-0.00256410135937757	0.00224661879243815	-0.000365936776592024	0.000365936776591802
Sirpb1a	-0.00203458977809801	0.00137851027824976	-0.00137851027824976	0.0361593797625561
Sirpb1b	2.58648348927526e-06	-2.58648348916424e-06	-8.85780487236421e-06	0.00838717935136002
B930018H19Rik	1.29587318387081e-06	-1.29587318384305e-06	-4.43789598883471e-06	0.00420365983149712
Nfic	0.0264558222959774	-0.051241716588116	0.151205389703374	-0.0264558222959774
Cnr1	0.00254225102324279	9.56420016740012e-07	-9.56420016740012e-07	-4.36644683854404e-06
Nfia	-0.0678101905664175	0.0378215835151856	-0.00850490979468788	0.00850490979468876
Mir875	9.72396937304332e-07	-9.72396937193309e-07	-3.33010361386332e-06	0.00315462938049382
Cxcr3	-0.0444865475294627	0.0686214658896418	-0.224372993741795	0.0444865475294645
Cxcr2	-0.000571347016399937	-0.000578527811208929	0.000571347016399715	0.00990004576408765
Ttyh1	5.5184161564803e-06	-5.5184161564803e-06	-1.94487982168035e-05	0.000499204951098342
Ttyh2	0.0484782303601463	-0.000530114819737193	-0.0120450091426516	0.000530114819736305
Cxcr4	0.00397676284425152	0.0524341360091301	-0.00397676284425241	-0.012136714145055
Fbxl20	-0.00846009326534514	0.00846009326534514	0.0748511067317637	-0.166757302221797
Fbxl21	0.0102349456719328	0.0106160405533409	-0.011243831479625	-0.0102349456719328
Fbxl22	0.0250670089616536	0.00127397192027701	-0.0133232703184412	-0.00127397192027789
D19Bwg1357e	-0.000578133060637143	0.0359404965067522	-0.194438611145912	0.000578133060637143
5930412G12Rik	1.44179033105818e-05	0.000631312722769506	-1.44179033105818e-05	-4.50421425832737e-05
Dlc1	0.0125370311528021	-0.00395812332039647	0.00395812332039647	-0.00770867402109765
Pkig	0.00689778980841904	-0.0241076255252439	0.00693558071470513	-0.00689778980841993
Pkia	9.2117686372184e-06	-9.2117686372184e-06	0.0297092101292709	-7.13683708757351e-05
Pkib	-0.00327431862296423	-0.0197083235155913	0.00327431862296468	0.0125138394806581
1810026J23Rik	0.0439832707315517	0.0284017641647463	-0.0630925682774581	-0.0284017641647445
Trnt1	0.00587556381496768	-0.0058755638149659	-0.00690075314514083	0.0559160071061839
Lnpep	-0.0642345033339193	0.153126437061877	0.0642345033339176	-0.0677694932427428
Gss	-0.00158920755872316	-0.0763876247947213	0.00158920755872316	0.0675424018093285
Gsr	0.0598546546278858	-0.0304509343233867	0.0304509343233885	-0.0409071688755382
Izumo4	-0.0565284129158776	-0.103822452338452	0.107670021143969	0.0565284129158794
Gsn	-0.0283071341429206	-0.00880595313965493	0.00880595313965493	0.06372851885099
Wnt3	-0.00156260851783641	-0.00157525936975356	0.015682626510042	0.00156260851783685
Wnt4	1.77613093557127e-05	-0.00510225996225477	0.00292990225357315	-1.77613093552687e-05
Fam219aos	7.56636987586656e-05	-7.56636987586656e-05	-0.00141975931863936	0.00258185024682023
Grhl1	0.00419367095435863	0.0290131657875987	-0.039735091753947	-0.00419367095435863
Grhl2	0.0426682614713521	-0.00565262906672714	0.00565262906672803	-0.00858810117947773
Sod1	0.0187198095243701	-0.0187198095243684	-0.0630278039567127	0.0251244306122178
Cyp4f41-ps	-0.00578977557652305	-0.00341779884758164	0.00561044226010576	0.00341779884758164
Tmprss9	0.0012713393646942	-0.00127133936469426	0.00221618821353281	-0.00128394541913468
Tmprss3	-0.00105173400739417	-0.00105446863305519	0.00126109904073861	0.00105173400739418
Tmprss4	-0.000567305506040894	-0.000578332191612185	0.000567305506040894	0.0161258502962776
Tmprss7	-0.00115171381829304	-0.00115768245678227	0.00115171381829282	0.00619335584106917
Trhr	1.07666461196532e-06	-1.07666461196532e-06	0.00348002636010364	-8.34097281088297e-06
Tmed10	-0.0882844499421775	0.0565884482834136	0.0168776898464635	-0.0168776898464635
Sdpr	3.21912013689918e-06	-3.21912013667713e-06	0.0103989301970355	-2.49390834761165e-05
3110082I17Rik	-0.0161897321766604	-0.017524369518596	0.0161897321766595	0.0438863258153717
Id4	0.000110499768449901	-0.00242698574109312	-0.000110499768450012	0.00178716028500492
Id2	0.0260622219410518	-0.300154135871042	0.13330921596207	-0.0260622219410536
Id3	-0.0159397815118947	0.285283148778419	-0.214784635087696	0.0159397815118965
Id1	-0.00589054106469167	-0.00103355865837074	0.00103355865837074	0.00250125017099645
