baseMean	log2FoldChange	lfcSE	pvalue	padj
Usp2	89.5608879099927	0.00422902001939416	0.0738761842204046	0.535796128525312	0.999958094925527
Usp3	4837.26783344474	-0.224141961342172	0.145033054662854	0.00604521425169209	0.256726938329271
Usp4	8047.06900050865	-0.088373024652147	0.0889272021908258	0.0676757340050134	0.739240681865263
Usp5	3380.81244077178	0.0023422277259171	0.064511950625816	0.942386788904711	0.999958094925527
Usp7	5425.65063703425	-0.0829982001725837	0.0978589791316329	0.0739393880873628	0.755335402837921
Rpl38	3719.00596966099	0.0207635206615929	0.0693389072068838	0.496299407540275	0.999958094925527
Rpl39	3742.74688560462	0.0251229007039548	0.0693399517157449	0.439366138149096	0.999958094925527
Rpl36	9857.2879570031	0.0458529523741694	0.0733588413124218	0.233162710844438	0.985547457270027
Rpl37	7805.01311278788	0.0373364259787209	0.068499999898778	0.319758688859298	0.999958094925527
Rpl34	81.7432108445115	0.00496916431543505	0.0739307934836621	0.485834177678724	0.999958094925527
Rpl35	9728.5538875686	0.0134551740004043	0.0587994783348726	0.712699557417654	0.999958094925527
Rpl32	34948.8404418349	0.0511113043497212	0.062486211398924	0.213882352743042	0.979858774993258
Rpl30	20.7651252098296	6.58216407607166e-05	0.0739277522227725	0.991014044071623	0.999958094925527
Rpl31	455.153376256586	0.00892487291433734	0.0729998294065195	0.574709822267565	0.999958094925527
Cd302	111.324132636701	-0.00363055183856359	0.0736971132543113	0.652859072795412	0.999958094925527
Fam13b	2814.86249747846	-0.330990497161356	0.167602928865012	0.00188402248464273	0.122544953933818
Fam13a	0.447081332939716	0.000311020470432804	0.0740230003598718	0.733642554690372	NA
Bcas2	2760.09381803806	0.0210125637547806	0.0692334816183387	0.495625723342939	0.999958094925527
Bcas3	1653.78623826388	0.0142278808388795	0.0709116636650082	0.567976678144166	0.999958094925527
Bcas1	5.18752666998008	-0.000108787786296531	0.0740124736974138	0.922173649180573	NA
Gm8369	931.487014309613	0.0762904230460044	0.13526354304294	0.0141946288377405	0.388647293152533
Hist3h2ba	11.392100784257	0.000444984078333887	0.0739768581976673	0.867699949766779	0.999958094925527
Mlycd	1321.34226545322	-0.0237154749074841	0.0742426505309277	0.343115706855929	0.999958094925527
Hist4h4	15.3624421914888	0.000764485873879962	0.0739773631266698	0.761294225281392	0.999958094925527
Ttbk2	202.734366627803	0.00731606649928899	0.0737070902046984	0.511148527246718	0.999958094925527
Gm10046	1.11770333234929	0.000364611187222753	0.0740237887463814	0.61897598281943	NA
Ttbk1	0.518593545805314	-0.000413290562564747	0.0740239590082542	0.680088107695989	NA
Ncor2	782.739890064854	2.74631368946898e-05	0.071013260954891	0.996121706231924	0.999958094925527
Ncor1	13558.1290656959	-0.0158761763459328	0.0564607791545496	0.668656624485916	0.999958094925527
1810010D01Rik	13.1433920415092	0.00123402575899499	0.0739902218302887	0.628952232181737	0.999958094925527
Pebp1	2097.0909940396	0.00777353449325835	0.0676847978243328	0.784787027216251	0.999958094925527
Magohb	278.936976256959	0.00579187707238884	0.0731915665467088	0.655384712760024	0.999958094925527
Nkiras1	290.058563398083	0.00132279002505634	0.0729936294675698	0.915553780364979	0.999958094925527
Ppme1	958.794782467417	-0.0272400727214211	0.0771395530384123	0.232395451792209	0.985547457270027
Gm19276	3.20291889218115	0.000453835545810993	0.074024648247165	0.498078134968578	NA
Gm19277	0.540022051470079	-0.000385144364989543	0.0740240173466055	0.681449811079217	NA
Cep162	888.326309134959	0.013381070873894	0.0731080204134558	0.477104368751933	0.999958094925527
Lrriq1	5.345986879894	-0.000422381614992106	0.0740147129699166	0.52877317417671	NA
Lrriq3	9.60488230310917	-0.00130571663212834	0.0740029190202412	0.57696730857906	0.999958094925527
Vmn2r84	204.63164115902	-0.00738193421584578	0.0737058731729557	0.505027707755596	0.999958094925527
Vmn2r85	1.20984911131801	0.000399680589019553	0.0740201172626591	0.663703356014974	NA
Vmn2r86	0.259296772902657	-0.000380429865776114	0.074023278816576	0.768171993426705	NA
Vmn2r87	3.7461207018978	0.000528128567154149	0.0740166660624362	0.565193987916623	NA
Vmn2r81	2.68248799763829	0.000382122324582041	0.0740241121244625	0.518486181106518	NA
Vmn2r82	2.58194701028333	-2.46437195009509e-06	0.0740173363455605	0.970865141972015	NA
Vmn2r83	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Tinf2	877.033667672881	-0.00760458223652646	0.071410184775349	0.70797572653033	0.999958094925527
Vmn2r89	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Egf	70.7944644773647	0.00791595535399979	0.0744020096720481	0.196158254516322	0.965994504001028
Slc4a11	1.564784665289	0.000374783626629188	0.0740239650286984	0.578577625992972	NA
